"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jan 07 17:55:20 GMT+04:00 2026","Wed Jan 07 17:55:21 GMT+04:00 2026","1068","","Тесты на авторизацию пользователя","","tests.LoginUserTest","loginWithoutEmailReturnsError","Вход без заполнения поля email","Проверка ошибки при входе без email"
"passed","Wed Jan 07 17:55:18 GMT+04:00 2026","Wed Jan 07 17:55:19 GMT+04:00 2026","991","","Тесты на создание пользователя","","tests.CreateUserTest","createExistingUserReturnsError","Создание пользователя, который уже зарегистрирован","Проверка ошибки при попытке регистрации уже существующего пользователя"
"passed","Wed Jan 07 17:55:17 GMT+04:00 2026","Wed Jan 07 17:55:18 GMT+04:00 2026","867","","Тесты на создание пользователя","","tests.CreateUserTest","createUniqueUserSuccessfully","Создание уникального пользователя","Проверка успешной регистрации нового пользователя"
"passed","Wed Jan 07 17:55:19 GMT+04:00 2026","Wed Jan 07 17:55:20 GMT+04:00 2026","1051","","Тесты на авторизацию пользователя","","tests.LoginUserTest","loginWithWrongPasswordReturnsError","Вход с неверным паролем","Проверка ошибки при входе с неверным паролем"
"passed","Wed Jan 07 17:55:02 GMT+04:00 2026","Wed Jan 07 17:55:09 GMT+04:00 2026","7174","","Тесты на создание заказа","","tests.CreateOrderTest","createOrderWithAuthAndIngredientsSuccessfully","Создание заказа с авторизацией и ингредиентами","Проверка успешного создания заказа авторизованным пользователем с валидными ингредиентами"
"passed","Wed Jan 07 17:55:22 GMT+04:00 2026","Wed Jan 07 17:55:23 GMT+04:00 2026","949","","Тесты на авторизацию пользователя","","tests.LoginUserTest","loginWithoutPasswordReturnsError","Вход без заполнения поля password","Проверка ошибки при входе без password"
"passed","Wed Jan 07 17:55:19 GMT+04:00 2026","Wed Jan 07 17:55:19 GMT+04:00 2026","101","","Тесты на создание пользователя","","tests.CreateUserTest","createUserWithoutEmailReturnsError","Создание пользователя без поля email","Проверка ошибки при регистрации без обязательного поля email"
"passed","Wed Jan 07 17:55:16 GMT+04:00 2026","Wed Jan 07 17:55:17 GMT+04:00 2026","1115","","Тесты на создание заказа","","tests.CreateOrderTest","createOrderWithoutAuthWithIngredients","Создание заказа без авторизации с ингредиентами","Проверка создания заказа неавторизованным пользователем с валидными ингредиентами"
"passed","Wed Jan 07 17:55:15 GMT+04:00 2026","Wed Jan 07 17:55:16 GMT+04:00 2026","1000","","Тесты на создание заказа","","tests.CreateOrderTest","createOrderWithoutIngredientsReturnsError","Создание заказа без ингредиентов","Проверка ошибки при создании заказа без ингредиентов"
"passed","Wed Jan 07 17:55:23 GMT+04:00 2026","Wed Jan 07 17:55:24 GMT+04:00 2026","936","","Тесты на авторизацию пользователя","","tests.LoginUserTest","loginWithWrongEmailReturnsError","Вход с неверным email","Проверка ошибки при входе с неверным email"
"passed","Wed Jan 07 17:55:19 GMT+04:00 2026","Wed Jan 07 17:55:19 GMT+04:00 2026","99","","Тесты на создание пользователя","","tests.CreateUserTest","createUserWithoutPasswordReturnsError","Создание пользователя без поля password","Проверка ошибки при регистрации без обязательного поля password"
"passed","Wed Jan 07 17:55:21 GMT+04:00 2026","Wed Jan 07 17:55:22 GMT+04:00 2026","1036","","Тесты на авторизацию пользователя","","tests.LoginUserTest","loginWithExistingUserSuccessfully","Вход под существующим пользователем","Проверка успешного входа с корректными учетными данными"
"passed","Wed Jan 07 17:55:11 GMT+04:00 2026","Wed Jan 07 17:55:15 GMT+04:00 2026","4318","","Тесты на создание заказа","","tests.CreateOrderTest","createOrderWithSingleIngredientSuccessfully","Создание заказа с одним ингредиентом","Проверка создания заказа с одним валидным ингредиентом"
"passed","Wed Jan 07 17:55:10 GMT+04:00 2026","Wed Jan 07 17:55:11 GMT+04:00 2026","1124","","Тесты на создание заказа","","tests.CreateOrderTest","createOrderWithInvalidIngredientHashReturnsError","Создание заказа с неверным хешем ингредиентов","Проверка ошибки при создании заказа с невалидными хешами ингредиентов"
"passed","Wed Jan 07 17:55:18 GMT+04:00 2026","Wed Jan 07 17:55:18 GMT+04:00 2026","106","","Тесты на создание пользователя","","tests.CreateUserTest","createUserWithoutNameReturnsError","Создание пользователя без поля name","Проверка ошибки при регистрации без обязательного поля name"
